ID_dest;X_dest;Y_dest
5827470;24.7868475;60.3494064
5827471;24.7913741;60.3494816
5827472;24.7959007;60.3495567
5827473;24.8004273;60.3496317
5827474;24.8049539;60.3497065
5827475;24.8094806;60.3497811
5827476;24.8140073;60.3498556
5827477;24.818534;60.3499299
5827478;24.8230607;60.3500041
5827479;24.8275875;60.3500781
5827480;24.8321143;60.350152
5827481;24.8366411;60.3502257
5827482;24.8411679;60.3502993
5827483;24.8456947;60.3503727
5827484;24.8502216;60.3504459
5827485;24.8547485;60.350519
5827486;24.8592754;60.350592
5827487;24.8638024;60.3506648
5827488;24.8683293;60.3507374
5827489;24.8728563;60.3508099
5827490;24.8773833;60.3508822
5827491;24.8819104;60.3509544
5827492;24.8864374;60.3510264
5827493;24.8909645;60.3510983
5827494;24.8954916;60.35117
5827495;24.9000188;60.3512416
5827496;24.9045459;60.351313
5827497;24.9090731;60.3513842
5827498;24.9136003;60.3514553
5827499;24.9181275;60.3515263
5827500;24.9226548;60.3515971
5827501;24.927182;60.3516677
5827526;25.040371;60.3533836
5827527;25.0448989;60.3534502
5827528;25.0494267;60.3535167
5827529;25.0539546;60.353583
5827530;25.0584825;60.3536492
5827531;25.0630104;60.3537152
5827532;25.0675384;60.3537811
5827533;25.0720664;60.3538468
5827534;25.0765944;60.3539123
5827535;25.0811224;60.3539777
5827536;25.0856504;60.354043
5827537;25.0901785;60.3541081
5827538;25.0947065;60.354173
5827539;25.0992346;60.3542378
5827540;25.1037627;60.3543024
5827541;25.1082909;60.3543669
5827542;25.112819;60.3544312
5827543;25.1173472;60.3544954
5827544;25.1218754;60.3545594
5827545;25.1264037;60.3546233
5827546;25.1309319;60.354687
5827547;25.1354602;60.3547505
5827548;25.1399884;60.3548139
5827549;25.1445167;60.3548772
5829322;24.6150204;60.3441898
5829323;24.6195457;60.3442709
5829324;24.624071;60.3443518
5829325;24.6285963;60.3444326
5829326;24.6331217;60.3445133
5829327;24.6376471;60.3445938
5829328;24.6421725;60.3446741
5829329;24.646698;60.3447543
5829330;24.6512235;60.3448343
5829331;24.655749;60.3449141
5829332;24.6602745;60.3449939
5829333;24.6648;60.3450734
5829334;24.6693256;60.3451528
5829335;24.6738512;60.3452321
5829336;24.6783769;60.3453112
5829337;24.6829025;60.3453901
5829338;24.6874282;60.3454689
5829339;24.6919539;60.3455475
5829340;24.6964796;60.345626
5829341;24.7010054;60.3457043
5829342;24.7055312;60.3457825
5829343;24.710057;60.3458605
5829344;24.7145828;60.3459384
5829345;24.7191087;60.3460161
5829346;24.7236346;60.3460937
5829347;24.7281605;60.3461711
5829348;24.7326864;60.3462483
5829349;24.7372124;60.3463254
5829353;24.7553165;60.3466323
5829354;24.7598425;60.3467086
5829355;24.7643687;60.3467848
5829356;24.7688948;60.3468608
5829357;24.7734209;60.3469367
5829358;24.7779471;60.3470124
5829359;24.7824733;60.3470879
5829360;24.7869996;60.3471633
5829361;24.7915258;60.3472386
5829362;24.7960521;60.3473137
5829363;24.8005784;60.3473886
5829364;24.8051047;60.3474634
5829365;24.8096311;60.347538
5829366;24.8141574;60.3476125
5829367;24.8186838;60.3476869
5829368;24.8232103;60.347761
5829369;24.8277367;60.347835
5829370;24.8322632;60.3479089
5829371;24.8367897;60.3479826
5829372;24.8413162;60.3480562
5829373;24.8458427;60.3481296
5829374;24.8503693;60.3482028
5829375;24.8548959;60.3482759
5829376;24.8594225;60.3483489
5829377;24.8639491;60.3484216
5829378;24.8684758;60.3484943
5829379;24.8730025;60.3485668
5829380;24.8775292;60.3486391
